fold,steps,mae_early_exit,validity_no_exit,execution_time_sec
0,10,,0.484375,0.2836045175790787
0,25,,0.9140625,0.5103008635342121
0,40,,0.9453125,0.7893876265734434
0,55,,0.9765625,1.0538394805043936
0,70,,0.984375,1.2455764599144459
0,85,,0.9765625,1.5513129010796547
0,100,,0.9921875,1.6965928226709366
1,10,,0.3515625,0.2889744509011507
1,25,,0.890625,0.5268045552074909
1,40,,0.984375,0.7569635715335608
1,55,,0.96875,1.010170677676797
1,70,,1.0,1.2496294621378183
1,85,,0.9765625,1.5692081823945045
1,100,,0.96875,1.7693615201860666
2,10,,0.515625,0.28088916279375553
2,25,,0.8984375,0.5185954198241234
2,40,,0.9453125,0.7899190839380026
2,55,,0.96875,1.0046982616186142
2,70,,0.96875,1.3113933950662613
2,85,,0.9921875,1.5029247980564833
2,100,,0.9765625,1.7372843883931637
3,10,,0.46875,0.284693144261837
3,25,,0.875,0.5255396142601967
3,40,,0.9609375,0.7608891651034355
3,55,,0.9609375,0.9999039750546217
3,70,,0.9765625,1.2376292273402214
3,85,,1.0,1.4963585063815117
3,100,,0.9921875,1.7680628579109907
4,10,,0.4375,0.28247999399900436
4,25,,0.8359375,0.533378005027771
4,40,,0.9453125,0.7759630605578423
4,55,,0.96875,1.9199462775141
4,70,,0.9609375,4.072315299883485
4,85,,0.9921875,2.405166920274496
4,100,,1.0,2.094518767669797
5,10,,0.4140625,1.0424193125218153
5,25,,0.84375,0.6147350333631039
5,40,,0.9375,1.6514310482889414
5,55,,0.9609375,1.9562557004392147
5,70,,0.96875,3.763086313381791
5,85,,0.984375,4.072152923792601
5,100,,1.0,2.137340299785137
6,10,,0.484375,0.32583253271877766
6,25,,0.8515625,0.6277296077460051
6,40,,0.9765625,0.9005533177405596
6,55,,0.96875,1.192849112674594
6,70,,0.9921875,3.2027364261448383
6,85,,0.9921875,4.744491213932633
6,100,,0.9921875,2.7802563793957233
7,10,,0.3828125,0.3355810400098562
7,25,,0.859375,0.6208528224378824
7,40,,0.9609375,0.9002027921378613
7,55,,0.9609375,1.2192668709903955
7,70,,0.984375,1.3031566608697176
7,85,,0.9609375,1.598755806684494
7,100,,0.984375,1.7413472905755043
8,10,,0.4296875,0.2819736823439598
8,25,,0.921875,0.5291025619953871
8,40,,0.9296875,0.801030158996582
8,55,,0.984375,1.0405387245118618
8,70,,1.0,1.317912781611085
8,85,,0.9921875,1.5154439080506563
8,100,,0.9921875,3.2827562745660543
9,10,,0.46875,0.2820313014090061
9,25,,0.9140625,1.2965778075158596
9,40,,0.953125,1.6676456909626722
9,55,,0.96875,3.504063729196787
9,70,,0.984375,3.6050369646400213
9,85,,0.9502375,1.598715803684494
9,100,,0.982315,1.7412272105751043
