num_steps,eta,omega,validity_mean,distortion
10,0,0.0,0.312,polydec
10,0,0.5,0.103,polydec
10,0,1.0,0.351,polydec
10,25,0.0,0.207,polydec
10,25,0.5,0.13,polydec
10,25,1.0,0.179,polydec
10,50,0.0,0.105,polydec
10,50,0.5,0.092,polydec
10,50,1.0,0.128,polydec
10,75,0.0,0.101,polydec
10,75,0.5,0.073,polydec
10,75,1.0,0.079,polydec
25,0,0.0,0.734,polydec
25,0,0.5,0.325,polydec
25,0,1.0,0.809,polydec
25,25,0.0,0.692,polydec
25,25,0.5,0.549,polydec
25,25,1.0,0.752,polydec
25,50,0.0,0.675,polydec
25,50,0.5,0.548,polydec
25,50,1.0,0.644,polydec
25,75,0.0,0.624,polydec
25,75,0.5,0.477,polydec
25,75,1.0,0.662,polydec
40,0,0.0,0.806,polydec
40,0,0.5,0.455,polydec
40,0,1.0,0.838,polydec
40,25,0.0,0.834,polydec
40,25,0.5,0.722,polydec
40,25,1.0,0.853,polydec
40,50,0.0,0.828,polydec
40,50,0.5,0.747,polydec
40,50,1.0,0.84,polydec
40,75,0.0,0.804,polydec
40,75,0.5,0.746,polydec
40,75,1.0,0.84,polydec
55,0,0.0,0.843,polydec
55,0,0.5,0.493,polydec
55,0,1.0,0.882,polydec
55,25,0.0,0.855,polydec
55,25,0.5,0.781,polydec
55,25,1.0,0.893,polydec
55,50,0.0,0.867,polydec
55,50,0.5,0.798,polydec
55,50,1.0,0.882,polydec
55,75,0.0,0.868,polydec
55,75,0.5,0.803,polydec
55,75,1.0,0.877,polydec
70,0,0.0,0.852,polydec
70,0,0.5,0.545,polydec
70,0,1.0,0.901,polydec
70,25,0.0,0.857,polydec
70,25,0.5,0.801,polydec
70,25,1.0,0.896,polydec
70,50,0.0,0.839,polydec
70,50,0.5,0.839,polydec
70,50,1.0,0.9,polydec
70,75,0.0,0.886,polydec
70,75,0.5,0.841,polydec
70,75,1.0,0.9,polydec
85,0,0.0,0.872,polydec
85,0,0.5,0.555,polydec
85,0,1.0,0.897,polydec
85,25,0.0,0.897,polydec
85,25,0.5,0.813,polydec
85,25,1.0,0.888,polydec
85,50,0.0,0.853,polydec
85,50,0.5,0.851,polydec
85,50,1.0,0.895,polydec
85,75,0.0,0.891,polydec
85,75,0.5,0.866,polydec
85,75,1.0,0.89,polydec
100,0,0.0,0.853,polydec
100,0,0.5,0.621,polydec
100,0,1.0,0.903,polydec
100,25,0.0,0.884,polydec
100,25,0.5,0.826,polydec
100,25,1.0,0.906,polydec
100,50,0.0,0.899,polydec
100,50,0.5,0.842,polydec
100,50,1.0,0.9,polydec
100,75,0.0,0.892,polydec
100,75,0.5,0.864,polydec
100,75,1.0,0.906,polydec
