fold,early_exit_start_step,mae_early_exit,validity_early_exit,execution_time_sec
0,10,29.31999969482422,1.0,8.32066660746932
0,25,33.934221267700195,1.0,6.79868090339005
0,30,27.7452507019043,0.9921875,8.213700894266367
0,40,33.736614227294922,0.9921875,8.922636611387134
1,10,32.145198822021484,1.0,8.119192846119404
1,25,28.722576141357422,1.0,7.449398569762707
1,30,30.83480453491211,1.0,8.337457727640867
1,40,24.09446144104004,1.0,9.980651430785656
2,10,25.781232833862305,1.0,7.778357891365886
2,25,33.42780303955078,1.0,8.369596220552921
2,30,29.178117752075195,1.0,8.036603182554245
2,40,31.10838317871094,1.0,9.102165015414357
3,10,28.938922882080078,1.0,7.183840990066528
3,25,28.712736129760742,1.0,7.853848742321134
3,30,31.754863739013672,1.0,7.967801151797175
3,40,28.00333023071289,1.0,7.7456051502376795
4,10,34.66299057006836,1.0,6.394342707470059
4,25,26.526187896728516,0.9921875,8.108184967190027
4,30,32.175270080566406,1.0,7.698918331414461
4,40,31.239986419677734,1.0,9.598488008603454
5,10,28.81686782836914,1.0,8.804605836048722
5,25,30.438669204711914,1.0,8.921179478988051
5,30,28.861684799194336,1.0,9.83233105391264
5,40,29.134231567382812,1.0,8.969372922554612
