arrival_time,service_start,service_end,service_duration,waiting_time,system_time
0.25871825218200684,1.2290065288543701,28.726520538330078,27.497514009475708,0.9702882766723633,28.46780228614807
0.4932067394256592,29.39656925201416,56.49271845817566,27.0961492061615,28.9033625125885,55.99951171875
0.732306718826294,57.183778524398804,84.16115236282349,26.977373838424683,56.45147180557251,83.42884564399719
0.7610411643981934,84.7326078414917,111.84887433052063,27.11626648902893,83.9715666770935,111.08783316612244
0.7703423500061035,112.5235288143158,118.93315935134888,6.409630537033081,111.75318646430969,118.16281700134277
0.9164116382598877,119.00462341308594,121.40405511856079,2.3994317054748535,118.08821177482605,120.4876434803009
1.0582001209259033,121.4752025604248,123.86937999725342,2.3941774368286133,120.4170024394989,122.81117987632751
1.3714826107025146,123.94096994400024,126.3319182395935,2.3909482955932617,122.56948733329773,124.96043562889099
1.3801133632659912,126.43554353713989,128.8042130470276,2.3686695098876953,125.0554301738739,127.4240996837616
1.4850924015045166,128.9829022884369,131.34044361114502,2.35754132270813,127.49780988693237,129.8553512096405
